stop_at,prob,reward,V
4,3.9840659479158657e-17,0.46561475011096476,-0.9999999999999999
15,1.0024160997862179e-82,0.9987182418278739,-1.0
8,1.9101893786770666e-242,0.9517179726144808,-1.0
6,3.097831128397348e-39,0.9466556805711307,-1.0
5,9.442801153090082e-17,0.886685733706899,-0.9999999999999998
6,1.380556136010571e-23,0.9345986644423371,-1.0
4,8.333953206371498e-21,0.46561475011096476,-1.0
4,5.403802308177511e-23,0.9926796341948662,-1.0
9,1.1146279519919533e-32,0.9140820750020814,-1.0
5,1.0375888041598685e-31,0.886685733706899,-1.0
6,2.048455894569562e-62,0.7538796016289544,-1.0
17,0.0,0.9995342323522864,-1.0
10,5.189550027929409e-97,0.9479250528283458,-1.0
6,5.966323566100235e-49,0.7538796016289544,-1.0
8,1.163775700990257e-54,0.8920879074310487,-1.0
15,0.0,0.999883593018316,-1.0
20,0.0,0.999883593018316,-1.0
25,0.0,0.9998253807963683,-1.0
7,1.4555823191910343e-184,0.931483780096834,-1.0
1,1.0,0.0,0.0
6,1.4736280226558232e-16,0.7538796016289544,-0.9999999999999998
7,3.313931821380699e-33,0.9828156582972463,-1.0
6,3.1387837445610596e-32,0.7538796016289544,-1.0
6,1.1260450247230211e-36,0.9466556805711307,-1.0
5,3.960848759233923e-31,0.886685733706899,-1.0
6,9.309211339098197e-81,0.7538796016289544,-1.0
9,1.705077077103019e-40,0.9140820750020814,-1.0
14,0.0,0.999883593018316,-1.0
16,0.0,0.9992429382975828,-1.0
6,6.6227528104582806e-77,0.7538796016289544,-1.0
6,7.337820442668525e-57,0.7538796016289544,-1.0
6,9.860184730903362e-94,0.9823960987345308,-1.0
4,1.4397986953529038e-29,0.46561475011096476,-1.0
16,0.0,0.9998253807963683,-1.0
8,2.8843657532684404e-256,0.9319389658119877,-1.0
6,1.2724186999582102e-65,0.7538796016289544,-1.0
